,title,Categorie,collect,town,Pourcentage Raised,Creation Date,Description,NumberDonors
674,khubza wa jubna breading and cheesing in gaza,Business & Entrepreneurs,"€1,197 raised of €15,000                    ",Paris,8.0%,Created 2 days ago,"﻿General project presentation:We are eager to start our bakery project Khubza wa jubna, which will provide monthly income to several families, including us.The main aim of our project is twofold:provide bread and pastries to inhabitants of our neighborhood where the offer is pretty meager,impulse an R&D type activity aiming at gathering knowledge and developing skills in yeasts and aerobic/anaerobic bacteria breeding, paving the way for developing technically demanding activities in the food industry field and beyond.The main activity trunk will be focused on the production of bread in order to meet the basic food needs of inhabitants of al-Zawayda.This is relevant because bread consumption is at the core of most Gazans nutrition and the bread offer is very sparse there. This leads to additional transportation costs for inhabitants, which is a heavy burden given the blockade context (high pressure on energy prices combined with low incomes and over 40% of unemployment rate).Seen the amount of bread consumed per family daily in Gaza, we expect this trunk activity to enable the creation of at least 5 job positions to run all the tasks :yeasts and sourdough breeding,dough and paste preparation,bread cooking,resource management,selling and shop managementWe plan to provide inhabitants with a wide offer of products, including traditional regional bakery as well as French-inspired products such as baguettes and croissants, the production of which we recently learned.Here is a list including some of the products we plan to produce :kmaj,saj,ftoot,regional pastries,French bread and baguettes,croissants...We expect this trunk activity to be sufficiently sustainable and stable to be the backbone for further developments.Indeed, we plan to start a laboratory R&D-type activity aiming at mastering the technical aspects of yeasts and acetic bacteria breeding, which is essential for mastering the entire bread production chain.With this, we expect to acquire the experience and skills opening the doors to other activities based on the management of yeasts and bacteria such as :yogurt production,cheese production,sewage water sanitation,artificial methanation,which would benefit the entire strip.Expected social benefits:incomes for at least 5 families,stimulate local economy through equipment orders (gas and clay ovens, mechanical kneaders, temperature-regulated rooms, milk for yogurts and cheeses, all produced in the Gaza strip),free distribution for needy familiesWhat will we do with the collected money ?The collected money will be used for :buying the equipments (gas and clay ovens, kneaders, giant boiler, generator, water container and other smaller items),renting the workshop,buying raw materials and consumablesWho are we?My name is Haneen Alsahar. I am leading this project with my husband, Muhammad Abushammala. We live in the Gaza strip's central part, in al-Zawayda neighborhood.I graduated in English teaching at the al-Aqsa University (2014), while Muhammad graduated in physics at al-Azhar (2013). We have two children: Mo'tasem (2 years) and Kenan (5 years).Our previous experience:We created and ran a training center in the Nuseirat refugee camp for almost two years. I taught English while Muhammad managed the structure and provided the mathematics courses.The structure employed six people for the teaching of the other topics. We eventually had to close the activity because the degraded economic situation in the strip made it impossible for most pupils' families to cover the fees.Gaza strip general context :Living under blockadethe project will take place in the Gaza strip, which is subject to a strong humanitarian and economic blockade. The blockade impacts both the availability of consumer and production goods as well as the economica development of the strip.This makes the development of any production activity of any kind difficult if not impossible. In particular, importation of machinery such as industrial bakery ovens is not possible, and we have to rely on local production abilities.High unemployment rateOne of the effects of the blockade is the degraded job offer and the hardness to develop new activities in the strip. This results in one of the lowest employment rates in the world, with more than 40% of manpower unemployed.Need and cost of essential goodsAs a result of the blockade, Gazans have struggled to develop local production chains for some of the most essential goods such as basic food and water supplies. In particular, thanks to these efforts, locally produced vegetables and fruits are widely available in the strips.Regarding bread however, which is at the basis of many families' food consumption, most of the production is concentrated in the high-density locations of the strips. This results in extra transportation costs for families living in the low inhabitants density region located at the center of the strip. There, the few bakeries are exclusively located in the overcrowded refugee camps, making the implantation of a bakery unit in other neighborhoods relevant.Read more",9
675,aidez juliette et son entreprise,Business & Entrepreneurs,"€560 raised of €9,000                    ",Saint-Cézaire-sur-Siagne,6.2%,"Created December 14, 2021","... Pas évident psychologiquement de faire cette démarche mais la situation étant plus que compliquée j'ose...Me voilà dos au mur car les banques ne soutiennent pas nos jeunes entreprises et la crise que nous traversons tous devient insoutenable !Le but de cette cagnotte est de pouvoir continuer à exister (payer nos charges) et dans le meilleur des cas pouvoir developper la communication qui est aujourd'hui vitale pour tenir et se développer.Depuis des mois nous vous offrons de merveilleuses photos avec notre âme, nous voulons continuer à produire un produit français ... alors si vous souhaitez me soutenir c'est ici ! Même le plus petit don compte !Merci à tousRead more",14
676,parc accrobranche,Business & Entrepreneurs,"€710 raised of €50,000                    ",La Feuillade,1.4%,"Created November 10, 2021","Notre propriétaire ayant décidé de reprendre le parc afin d’exploiter pour son propre compte, nous devons donc poursuivre l’aventure ailleurs.Nous avons trouvé un site magnifique où nous installer :mais entre l’achat de la forêt et le coût des installations d’environs 500k€, la banque qui veut nous aider à concrétiser le projet à besoin d‘au minimum 10% d’apport.Nous avons donc besoin de toute l’aide possible pour réunir cette somme au plus vite afin de pouvoir vous accueillir et vous faire vivre encore plus de merveilleuses aventures dès l’été prochainToute participation (possibilité de conversion en entrée gratuite sur demande) sera la bienvenue et nous comptons sur votre aide en partageant un maximumnotre site internetRead more",18
677,crer une savonnerie artisanale,Business & Entrepreneurs,"€550 raised of €2,500                    ",Bouilland,22.0%,"Created November 8, 2021","Bonjour mesdames, messieurs,Je m’appelle Jenny et je suis en entreprise individuelle depuis l’année dernière pour la production et vente principalement de savons et  cosmétiques.Depuis un an, je me suis débrouillé comme j’ai pu. Je n’ai pas d’emprunt bancaire et tout ce que j’ai investi dans mon projet provenait de mon épargne!Aujourd’hui, j’ai confiance que avec votre aide, ma société peut que grandir et la savonnerie va déménager officiellement à Beaune en janvier !J’ai besoin de votre aide pour pouvoir continuer à développer des produits et agrandir la gamme de savons. Pour faire ça, on est obligé de faire valider les compositions de ses recettes et ce service a un coût très important.J’ai aussi besoin d’aménager mon nouveau laboratoire, ie.  étagères, tables en inox, frigo, four, et des moules.Merci de m’avoir lu et à très bientôt j’espère!Read more",12
678,soutenez le projet dune vie,Business & Entrepreneurs,"€300 raised of €25,000                    ",Frédéric-Fontaine,1.2%,"Created January 3, 2022","Bonjour,Je m'appelle Béatrice, j'ai 29 ans je suis maman d'une petite fille de 4 ans qui s'appelle Noéline.J'habite dans l'Est de la France, en Franche-Comté plus précisément.Voilà maintenant 2 ans que je suis porteuse d'un projet de création de start up dans le domaine numérique et évènementiel.Je vous raconte mon histoire.J'ai vécu un licenciement économique il y a 2 ans, j'étais comptable dans une société internationale. Je me plaisais dans cette boite, il y avait beaucoup de possibilité d'évolution, de rester dans cette branche ou de développer d'autres compétences permettant d'accéder à d'autres postes.Malheureusement tout c'est terminé rapidement. J'étais resté 3 ans et le service dans lequel je m'épanouissais mettais déjà la clé sous la porte. Je me suis retrouvée en congé de reclassement pendant 1 an.Ses 1 an m'ont permise de faire un bilan de compétence avec les professionnels qui me suivaient.Moi qui voyait cet évènement comme dramatique pour une maman solo m'a ouvert les yeux sur ce que je souhaitais réellement comme avenir professionnel : Etre autonome, travailler à mon compte.Alors j'ai sorti de la vieille armoire mentale fermée à triple tour, que m'étais efforcée de créer, un vieux projet que je m'étais pratiquement interdit de faire car ""trop risqué"", ""je n'y arriverais pas"", ""j'ai peur"". Ses injonctions dont je m'étais auto persuadée de la véracité sans aucun fondement.Puis j'ai relevé la tête et je me suis dit : C'est maintenant ou jamais!Je me suis formée au coding grâce à mon compte CPF, j'ai acheté un hébergement OVS, installé wordpress , commencé la création du logo, créé le nom de mon application puis j'ai réussi à rassembler environ 2000€ , force de compromis et de sacrifices, mais il me manque encore des fonds pour aboutir à ce projet.J'ai besoin de vous pour réaliser ce rêve!Le projet :La création d'un site et d'une application dédié à la ""rencontre"" (dans le sens large du terme).Il y a beaucoup de concurrence dans le domaine me direz-vous; Le mot ""rencontre"", oui, mais avec sa petite touche d'originalité.Le but est de permettre aux utilisateurs d'afficher sur leur profil la façon dont ils préfèrent vivre un rendez-vous (amical, professionnel, amoureux...) et de le réaliser VRAIMENT avec la personne avec qui il/elle match.Aux deux profils matchant d'accepter l'un ou l'autre rendez-vous proposé par les deux utilisateurs dans leur profil.A terme je souhaiterais même proposer des rendez-vous personnalisés en fonction des demandes des utilisateurs afin de permettre la rencontre authentique et originale, à deux au départ et puis pourquoi pas en groupe (amical, professionnel…)Dans les sites/applications classique c'est aux matchant de se démarquer via des photos puis en écrivant de jolies paroles via le tchat; Je pense que les actes valent mieux que la paroles.Et puis pour créer du lien il vaut mieux se voir en vrai plutôt que de se faire des illusions pour finalement être tout le temps déçu.Et cela n'engage à rien! Au pire : le moment passé aura été sympa; au mieux une belle rencontre sincère à la clé avec en prime le souvenir d'un rendez-vous vrai et vraiment pas banal :)Mais pour cela j'ai besoin de personnes qui soutiennent mon projet et pourquoi pas créer une communauté d'entraide avec de nouvelles idées qui pourraient enrichir ce terreau fertile qui ne demande qu'a faire pousser une jolie plante prometteuse :)Je compte énormément sur votre aide plus que précieuse.En réalité j'ai besoin d'au minimum 25000€ pour faire appel à des développeurs compétents et pour sortir une native du projet environ 3 mois après l'appel aux développeurs (en faisant une appel d'offre).Financièrement :5000€ vont au design, graphisme, logo, charte graphique, brevet…3000€ dans les frais de gestion (hébergement, maintenance, protection des données et du site/application…)10000€ dans la création d'une application ""basique"" avec des fonctionnalités réduites3000€ dans la création du site (développeur)[J'aimerais que le site et l'application soient actif avant le début de l'été 2022, que le projet soit clos fin du mois de Mai pour pouvoir faire tester l'application au mois de Juin pour régler les derniers détails.]Vous comprenez alors que j'ai sincèrement besoin de vous car cela représente un investissement pharamineux pour une maman solo, mais je crois véritablement en ce projet et j'espère pouvoir compter sur vous!________________________________________________________________________________________________________________Pour tout les donateurs l'application sera gratuite à vie et surtout vous pourrez être les testeurs de l'application et du site en avant-première. Ce sera grâce à vos retours que je pourrais faire corriger les bugs et les crash.__________________________________________________________________________________________________________________Merci d'avoir pris le temps de me lire et peut-être d'avoir fait un don, je ne serais jamais assez reconnaissante pour cela!Un grand merci!Lien du site en construction : Daytii Read more",9
679,conservation du patrimoine par drone,Business & Entrepreneurs,"€1,005 raised of €3,400                    ",Vannes-le-Châtel,29.6%,"Created November 12, 2021","Bonjour ! La conservation du patrimoine passe par le recensement. Cette collecte servira à financer l'achat du drone et du logiciel nécessaires à la prise et au traitement de vues. Je suis un jeune entrepreneur formé à la photogrammétrie. J'ai obtenu mes diplômes pour une pratique professionnelle. Si le patrimoine français à un intérêt pour vous, je vous invite à participer ! Merci à toutes celles et ceux qui se sentiront concernés par mon action !Le but de cette démarche et de rendre accessible des centaines d'ouvrages qui avec le temps ont subi des dégâts qui à long terme les détruiront.Comment ? En créant une plate-forme digitale, vous aurez accès aux modélisations réalisées grâce aux prises de vue. Ainsi, quelques clics vous permettront d'observer en détails des structures et sous tous les angles.Read more",10
680,aidez nous merveiller vos papilles,Business & Entrepreneurs,"€720 raised of €1,000                    ",Paris,72.0%,"Created November 18, 2021","Deux génies du monde culinaire associées à une experte en communication et marketing lancent leur activité de traiteur sur mesure pour mettre le feu à vos palais !Notre but :▸ Proposer du fait maison avec des produits frais, locaux et de saison▸ Être à l'écoute du client pour offrir un service personnalisé▸ Nous faisons ça pour vous et avec vous !Pour réaliser notre projet, nous avons besoin de vous ! ☀️Quelque soit votre participation, elle est la bienvenue et nous permettra d'avancer ✨PS : vous serez remercié, restez à l'affût ✨Read more",13
681,keep 1909 alive,Business & Entrepreneurs,"€960 raised of €10,000                    ",Paris,9.6%,"Created December 23, 2021","Dear all,Today we need your help. We’re close to becoming stable but the sanitary situation -past and future- put everything in jeopardy and postponed all our comfortable plans for 2022.We’re trying to raise 10 000 euros to help us for the next coming two months at least.We know your attachment to the bookshop, that’s why we’re trying to reach you. If you can participate with a donation, every penny is worth it.help us continue pushing the niche culture we’re into, connect each other, support the artists we’re supporting.Read more",11
682,aidez nous viter la faillite cause covid,Business & Entrepreneurs,"€230 raised of €40,000                    ",Uffholtz,1.0%,"Created December 14, 2021","Bonjour, je me présente je suis Mr Naegelin sebastien prix d excellence poissonnier de France et gérant de deux petits commerces de proximité ( un magasin spécialiser bio et une petite poissonnerie artisanale) à Cernay en Alsace (68).Nous avons ouvert nos commerces il y a de cela trois ans ( avec les gilets jaune et directement enchaîner avec la crise de la Covid) nous avons deux employés, pour qui nous nous battons pour préserver leurs emploies, de même nous sommes engager touts au long de ses trois ans dans plusieurs actions solidaire ( maison de retraite,personnel soignant, resto du cœur,maraude pour les sans abris etc etc….,)vous pouvez retrouver toutes nos actions sur notre Facebook/la capitainerie .aujourd huit ,malheureusement c est à nous d osez faire le pas à demander de l aide, car en effet notre situation économique devient catastrophique à cause de cette crise et de la  baisse de fréquentation très conséquenteje sais qu il paraît  facile de demander de l aide mais pour notre part nous préférons aider que d être aider c est pour cette raison aussi que vos dons ne seront pas sans retours en effet vos dons donnerons suite à un envoie de ma part d un petit cadeau ( comestible lol ) et venant d un petit artisans français.( ce qui aidera aussi ce petit artisans ) … et cela vous fera découvrir ( qui sais) un nouveau produits. je vous en supplie de tout cœur, aidez nous à pouvoir continuer à aider.bien cordialement, et prenez soins de vous Read more",8
683,aider alhadhuri ouvrir son restaurant,Business & Entrepreneurs,"€490 raised of €5,000                    ",Toulouse,9.8%,"Created October 26, 2021","Bonjour, je m'appelle Alhadhuri et je fait une collecte pour ouvrir mon restaurant Je suis un passionné de gastronomie , j'adore partager ce bonheur qu'est la gastronomie et voir le sourire des gens rassasiés et faire découvrir les saveurs qui m'envoute et m'apprte du bonheur avec les gensJ'ai été pendant 5 ans le directeur d'un restaurant spécialisé en grillade sur Toulouse et j'ai envie de proposer une nouvelle cuisine et de nouvelle saveurs à la société apporté ma touche de bonheur en ces temps compliqué De parents originaire des Comores et d'une mère pâtissière j'ai grandi avec les deux meilleurs cuisine au monde c'est donc naturellement que je dois partager avec les gens  ce bonheur gustative Mon concepte est un restaurant gastronomique franco comorien avec comme ligne conductrice  le mariage des saveurs françaises et comorienne dans une même assiette le tous dans un lieu chic de haut standing avec une ambiance chaleureuse et exotique dans la belle ville de Marseille C'est le projet de ma vie. O DEUX LADHA à été enregistré depuis juin 2021. J'ai déjà pris le local et commencé les travauxMalheureusement je me trouve dans une impasse, il me manque 4000€ pour finir mes travaux Sans solution apparentes c'est donc naturellement que je me suis tourné vers ma conseillère pôle emploi pour voir si elle avait une solution à me suggéré pour trouver les 4000euro qui me manqueTrès sympathique et très à l’écoute elle m’à indiquée que je pouvais faire une demande d’ARCE et récupérer 3360€ sur mes allocations et 3360€ six mois après le premier versement Nous avons fait la demande le 15 octobre 2021 j’ai reçu une réponse le 19 octobre  2021 me confirmant l’acceptation de l’arce avec les sommes espérés Ce matin j’ai eu une notification de ma banque m’informant d’un virement reçu de pôle emploi d’un montant de 720€Surpris de la somme reçu j’ai contacté le service indemnisation de pôle emploi pour essayer de comprendre pourquoi je n’ai pas reçu la somme de 3360€ que j’attendais mais 720€Il m’à expliquer que ce montant est la différence des 3360€ que je devais recevoir moins les allocations chômage que j’ai reçu depuis la création de ma société c’est-à-dire depuis juillet 2021Par manque d’informations je ne savais pas que le paiement débuté à la création de la société étant donné que le calcul commencé ce mois ciBien sûr ma démarche ici n’est pas de remettre en cause la règle du jeu ni le système mais je fait appel à votre bien vaillance et m’accordé le droit à l’erreur car ne sachant pas quand es que je vais pouvoir ouvrir (trouver le 4000€ manquant) et si j’ajoute à cela un manque de revenu je risque de me trouver dans une situation très  délicate Voilà pourquoi je viens demandé de l'aide Merci à tous pour votre compassion et bienveillance Alhadhuri Read more",11
684,aidez raphal rnover son salon,Business & Entrepreneurs,€150 raised of €150                    ,Diou,100.0%,Created 1 day ago,Bonjour on a vraiment besoin d’aide pour rénover notre salon de coiffure qui est malheureusement empester . Ayez pitié aidez nous . Je vous remercie Read more,3
685,aide projet bertilebeauty,Business & Entrepreneurs,"€75 raised of €1,000                    ",Lyon,7.5%,"Created December 10, 2021","Bonjour à tous,Premièrement je m’appelle Bertile jeune fille de 23ans, qui depuis toujours a pour passion la beauté et les produits cosmétiques. En réalité, une passion pour tout ce qui touche à la beauté de la femme et à la sublimer davantage.Actuellement je suis entrain de me lancer dans l’entreprenariat en République démocratique du Congo, qui n’est rien d’autre que mon pays natale.J’ai pour rêve et ambition principale de contribuer à l’évolution de la beauté de la femme africaine.Jusqu’à présent, à l’aide de mes propres moyens j’ai investis pour la concrétisation et le lancement de mon projet : BERTILEBEAUTY INSTITUT «BB institut de beauté».Rien d’autre qu’un institut de beauté spécialisé et qui sera situé en République Démocratique du Congo, plus précisément à Kinshasa.Mon projet tire à sa fin, il me reste quelques petite détails à finaliser avant que tout soit bouclée.C’est pourquoi, j’appelle à votre générosité, votre envie de m’aider à finaliser le reste de mon projet : BERTILEBEAUTY INSTITUT, et permettre à ce qu’il puisse voir enfin le jour après tant d’effort et d’investissement personnel.Et ça sera grâce à vous en partie et vous participerez à la contribution d’un projet véritable qui réjouira de nombreuses femmes !!La main qui donne c’est celle qui reçoit.Je vous remercie d'avance.Que Dieu vous bénisse!!!BertileRead more",9
686,micro entreprise onglerie,Business & Entrepreneurs,"€40 raised of €2,400                    ",Alès,1.7%,Created 3 days ago,"Bonjour, je m'appelle fanny j'ai 31ans, maman célibataire de deux filles 11ans et 5ans Depuis plusieurs années j'ai je besoin et le désir d'arrêter la vente en prêt à porter pour vivre de ma passion les ongles, mais la l'investissement de départ pour la formation en question et un peu de matériel pour me lancer coûte cher, et malheureusement sela fait plus d'un an que le projet est au point mort au cause du financement... Je m'éclate vraiment dans ce métier et pendant mon temps libre je m'entraîne sur la famille et les  amies..  Tout le monde et convaincu de mon potentiel dans ce domaine.... Et moi la première !! Mais j'aimerai être diplômé pour pouvoir en vivre et pouvoir travailler à mon compte.... La formation est à 1300 euros environ selon le module choisi.... Et le matériel tout confondu pour pouvoir travailler à domicile 800 euros environ (lampe uv, aspirateur poussières, table de voyage, valise, et tout les produit d onglerie, (gel, semi permanent, capsule, pinceau... Etc) Malheureusement je n'est que 74 euros disponible sur mon cpf et aucun n organisme finance les formations de prothèsiste ongulaire..Read more",2
687,finaliser mon projet de cration dentreprise,Business & Entrepreneurs,"€150 raised of €30,000                    ","Carro (Bouches-du-Rhône), France",1.0%,Created 7 days ago,"English Version belowBonjour ,je m'appel Ridha et j'ai 37 ans , un jeune entrepreneur avec une expérience significative en achats .Le COVIC m'a fait installé moi et ma famille en France et depuis plus d'un an je suis à la recherche d'un emploi stable mais en vain .Cela fait plus de sept mois, j'ai relevé le défi de développer une solution internet pour aider les entreprises dans leur démarches achats , SOURCENEO , est alors né à partir de prototypes Excel qui sont par la suite développés pour finir aujourd'hui avec six modules .a vrai dire , au début je comptais pas trop sur cette solution c'était pour moi le moyen de rester actif , et me donner la sensation de servir à quelque chose oui je suis plutôt le genre qui ne reste pas sans rien faire . Mais avec le temps et chaque fois qu'un nouveau module est livré je commence à m'attacher a ce projet c'était pour moi un remède contre les centaines de rejets que je recevais chaque fois oui c'est aussi une motivation et une raison d'être .aujourd'hui et après mure réflexion , je tente ma chance avec le crowdfunding en espérant collecter cette somme ,qui me permettrait d'aller en avant et finaliser la conception voir même mettre en place une petite équipe .Certes les temps sont durs je suis conscient qu'il s'agit peut être d'une somme qui vous allez vous privé et contribuer à un projet qui vous ne sera pas d'une utilité , Mais sachez une chose que pour moi ça reste un prêt quoi qu'il soit même si je vous connais pas mais je trouverai le moyen de vous le rembourserCeci dit je vous remercie pour votre temps .Prenez bien soin de vousRidhaEnglish Version ***************************Hello ,My name is Ridha and I am 37 years old, a young entrepreneur with significant experience within procurement.Due to COVID pandemic I settled with my family in France and for more than a year I have been looking for a stable job but in vain.Since seven months, I took up the challenge of developing an internet solution to help companies in their purchasing process, SOURCENEO, was then born from Excel prototypes which are subsequently developed to finish today with six modules.to tell the truth, at the beginning I didn't count too much on this solution it was for me the way to stay active, and having the feeling of being useful for something yes I am rather the type who does not stay idle. But over time and each time a new module is delivered I start to attach to this project it was for me a remedy against the hundreds of rejections that I received each time yes it is also a motivation and a reason to be.today and after careful consideration, I am trying this experience with crowdfunding hoping to collect this sum, which would allow me to go ahead and finalize the development or even set up a small team.Certainly times are hard, I am aware that it may be a sum that you will deprive yourself of ,and contribute to a project that will not be of use to you, But know one thing that for me it remains a loan whatever it is even if I don't know you but I will find a way to pay it back to youThat said, thank you for your time.Take good care of yourselfRidhaRead more",2
688,projet la paix lemporte,Business & Entrepreneurs,"€150 raised of €1,000                    ",Saint-Pierre-lès-Elbeuf,15.0%,"Created December 5, 2021","Nous avons choisi, a titre mensuel, d'aider des petites associations en créant une marque de vêtements en ligne.a notre échelle bien sur et étant donné notre capital de départ, c'est une première et nous attendons tout votre soutient.nous nous sommes réunis afin d'adapter prix, qualité, et montant versé par articleA ce jour, nous choisissons de verser 1 euro par produit a l'asso.ce sera donc a vous, de nous permettre d'élargir ce projet afin de toucher au mieux les plus démunis, les malades mais aussi l'humanitaire.chaque mois un nouveau projet, mais toujours le même nom.Ce n'est que le début d'une longue histoire, j'espère.on compte sur vous.Read more",6
689,diplo un fast food mais pas que,Business & Entrepreneurs,"€80 raised of €30,000                    ",Brive-la-Gaillarde,1.0%,Created 7 days ago,"Bonjour, je m'appelle Thomas. Avec mon associé Nicolas, nous avons créé Diplo, un fast food tex-mex qui a pu satisfaire ses premiers clients depuis un mois environ aujourd'hui.Suite à des complications vis à vis du bail de notre établissement, nous devons impérativement quitter le lieu et acheter un autre local commercial pour pouvoir exercer, et ce dans les plus brefs délais.Ce changement brutal nous demande une réactivité sur le plan financier.C'est pourquoi, nous sommes ici aujourd'hui, afin de solliciter votre aide pour mener à bien notre projet qui nous tient à coeur.A savoir que DIPLO n'est pas un simple fast food comme les autres : grâce à son futur programme de fidélisation clients, nous reverserons une partie des sommes encaissées aux aides humanitaires pour le Mexique, et plus particulièrement pour les "" enfants travailleurs"" du Mexique.Nous tenons tout d'abord à vous remercier d'avoir pris le temps de lire cette présentation, et si le projet vous touche et que l'envie vous vient de participer, à hauteur de ce que vous pouvez/voulez, pour financer notre rêve, sachez que vous pourrez être fiers de vous, de nous, car d'ici quelques années nous pourrons tous ensemble contribuer à une cause humanitaire sans même que la plus part d'entre nous s'en rende compte.Un grand merci à vous.Read more",3
690,studio denregistrement label,Business & Entrepreneurs,"€30 raised of €3,000                    ", ,1.0%,Created 5 days ago,"Bonjour à toutes et à tous,Nous sommes BellePerf'records, un nouveau Label / Maison d'édition dans le secteur Grand-Est, plus précisément dans la Meuse !On est principalement orienté rap et variétés.A aujourd'hui, nous avons un studio (provisoire) sur Foameix, image ci-dessous.Pourquoi en appeler aux dons ?Nous allons avoir dans très peu de temps, un véritable magasin / local sur Verdun composé de :Studio d'enregistrementSalon de streamingbureau real clipLe studio d'enregistrement sera le point principal que nous allons cibler pour commencer !Il sera disponible le plus tôt possible pour vos projets musicaux.Pour le salon de streaming, on cible toutes les plateformes (twich, youtube, etc..)Et enfin le bureau real clip, pour accompagner vos projets de clip, mise en image, présentation, réseaux sociaux, ...Label / Maison d'éditionLe but de tout ça, pouvoir signer des artistes au sein même de notre Label pour les accompagner dans leurs projets et proposer un financement total de leurs idées !Bien évidemment, nous distribuons l'artiste sur toutes les plateformes de streaming comme Spotify ou Deezer.Si le projet vous parle, vous pouvez faire un don !Peu importe la somme, rien qu'un partage est d'une grande aide !On compte sur vous, pour qu'à votre tour vous puissiez compter sur Nous.Pour nous suivre :InstagramFacebook L'équipe de BellePerf'recordsRead more",2
691,dpart pierrick,Business & Entrepreneurs,€230 raised of €250                    ,Montreuil,92.0%,"Created December 8, 2021",Cagnotte pour le départ de notre Pierrick national ! Parce qu'il le mérite bien et qu'il va nous manquer. Je vous consulterai pour les idées ! Read more,14
692,help naji to follow his passion for textile,Business & Entrepreneurs,"€715 raised of €5,000                    ",Paris,14.3%,"Created November 8, 2021","Hello,I'm Alireza and I'm starting this fundraiser on behalf of Naji because Gofundme is not available in where he's based. Please read his message below and help him to follow his passion.""My name is Naji Raji and I am a multidisciplinary designer from Beirut. Since 2017, I have been collaborating with Egyptian handweavers to produce carpets of my design, in order to showcase modern Lebanese style, while also helping preserve and support the traditional Egyptian kilim weaving. I am also collaborating with an Egyptian furniture brand, and we hope to launch a collection next year.Unfortunately, due to numerous crises in Lebanon, including the ongoing financial crisis and the massive explosion in 2020, I have been forced to leave Beirut and relocate to Cairo, for better opportunities. However, restarting one's passion in a new place is not without difficulty, and I find myself lacking the resources to rebuild from scratch. I dearly wish to follow my passion for textile, carpet design, and weaving materials, and it is for this reason that I have launched a GoFundMe. I will use the funding raised to buy a hand-tufting machine, various tools needed for production, as well as raw materials like wool, mesh, and resin.Your assistance to me will help support small Arab creatives, sustaining Lebanese design as well as Egyptian artisan weavers. I would be deeply appreciative of any support you can give.""Thank youRead more",11
693,don pour mon entreprise,Business & Entrepreneurs,"€20 raised of €4,000                    ",Marbaix,1.0%,Created 3 days ago,"Bonjour, je m'appelle Alexandre, j'ai 25 ans.Je travaille comme ouvrier en usine depuis que j'ai 16 ans. Depuis Petit, je rêve de devenir gérant de ma boutique, proposé de l'emploi par la suite...En janvier 2021, j'ai décidé de créer cette entreprise, une entreprise de vente de bijoux, décoration, minéraux, bien-être...Malheureusement, avec la crise sanitaire, mes investissements sont au ralenti... L'entreprise a donc du mal à investir... Et proposer de nouveaux produits. Et voir les frais s'accumuler en attendant ! Si je fais un appel au don, c'est pour sauver mon rêve d'enfant et ne pas voir tous mes efforts partir en fumée...Si vous souhaitez m'aider, je vous serai mille fois reconnaissant ❤️Belle journée à vousAlexandreRead more",1
694,aidez saka  se dvelopper,Business & Entrepreneurs,€170 raised of €500                    ,La Seyne-sur-Mer,34.0%,"Created October 27, 2021","Bonjour, je me lance dans la cuisine en livraison à domicile dans ma ville, spécialisée dans la cuisine asiatique. Pour se faire, j'ai besoin de votre aide afin de pouvoir faire le grand saut, avoir un fond de roulement et dans le temps pouvoir vivre de mon travail. Cette somme sera investie dans du matériel nécessaire à mon activité (emballages, sacs, petit matériel de cuisson, matières premières, etc... ) J'ai besoin de cette somme dans un délai d'environ un mois. Pour tout soutient de votre part, un ou plusieurs plats vous seront livré à titre gracieux afin de vous remercier Je vous suis infiniment reconnaissante par avance de votre soutien.À très bientôt chez vous Read more",5
