,title,Categorie,collect,town,Pourcentage Raised,Creation Date,Description
655,dons planteurs despoir,Environment,€95 raised of €300                    ,Vincennes,31.7%,"Created March 9, 2021","Le collectif Planteurs d’Espoir fait appel à votre générosité pour soutenir une grande cause : la plantation des arbres. Les arbres permettent de capter les émissions de CO² et donc de lutter contre le réchauffement climatique.En collaboration avec le lycée Gregor Mendel, Planteurs d’Espoir organise la seconde édition de la journée du Réenchantement promouvant l’éco-responsabilité. Cette journée est l’occasion pour les acteurs de l’établissement de participer activement à la sauvegarde de leur planète.En plus d’agir concrètement à travers différentes activités, les participants peuvent également donner un peu de leur argent pour soutenir une cause environnementale. Le lycée Gregor Mendel s’engage ainsi à récolter les fonds et à les reverser à des associations œuvrant directement pour la reforestation telles que Planteurs Volontaires, la Fondation Masarang ou encore L’oasis source de vie.Mais pourquoi s’arrêter au lycée Gregor Mendel ? Le réchauffement climatique touche absolument tout le monde. C’est pourquoi Planteurs d’Espoir et Gregor Mendel continuent cette démarche en la rendant accessible au grand public.Tous autant que vous êtes, vous pouvez participer à la plantation des arbres à travers vos dons ! Parents, enseignants, élèves, proches, toutes personnes sensibles à cette cause, à vos dons !Pour plus d’informations nous concernant, vous pouvez aller sur notre site internet https://www.planteursdespoir.fr/ Pour suivre nos actions, RDV sur l'instagram de planteursdespoir.fr.Dons 100% sécurisés.CONTACTSEmeline DUMONT, Lucie CARRY, Mwezi MLANAO, Lisa LUCIANOÉtudiantes et bénévoles en communication, Collectif Planteurs d’Espoir x Lycée Gregor MendelJean-Luc BONNEMAIN, chef d’établissement du lycée Gregor MendelValéry Petroff, professeur en BTS Communication au lycée Gregor Mendelinitiateur du collectif Planteurs d’EspoirRead more"
656,2wp7q mutoko green project urgent water appeal,Environment,"€160 raised of €1,500                    ",Toulon,10.7%,"Created January 18, 2021","THE PROBLEMThe entire Mutoko district of Zimbabwe's water supply has run dry from polluted dams, dry taps and soiled wells. Due to drought experienced in recent years, the area's water table has dropped further.Mutoko Green Project recently launched an urgent appeal for funds to drill an underground water borehole and purchase a solar panelled pump to access groundwater and avoid famine in the community.We successfully raised enough funds to pay for the drilling, and found water at 25m in the water table, but we are now launching a new appeal for the remaining funds to purchase the solar powered pump so we can access the water.ABOUT MUTOKO GREEN PROJECT:Mutoko Green Projects Network (Private) Limited is a social enterprise based in Mutoko district, Mashonaland East province, Zimbabwe.The Mutoko Green Project provides food and education for 1 boarding school (500 students), a mission hospital (500 people), and 4 Catholic centres that encompass 6 villages of at least 50 homesteads with an average of 5 people each (1,500 people).Formed in February 2017 as an agricultural rural-based company bound to serve, educate & economically empower rural communities particularly women and the youth.Mutoko District has at least 200,000 residents. Mutoko Green Project is the only organic producer in the district and in the wider Mashonaland East Province.Solomon Mutasa came up with the idea after going through the Young African Leaders Initiative Entrepreneurship Business Leadership program. As a child, food insecurity and malaria were serious fears he had to face daily. Responsible for his own food security, Solomon worked in the fields before and after school. He would drew water from open water sources, such as dams, using an ox-drawn cart.The objectives of the Mutoko Green Project are:- To unlock potential in small scale rural farmers mostly women and the youth through commercialisation that positively affects the community.- To alleviate poverty in marginalised societies through self-sustainable projects that creates formal markets and new businesses. - Agri-process raw produce that will create a competitive product on local and national markets. - Bring economic investments and partnerships in agriculture, tourism that benefits the local communities. - Adopt and implement towards United Nations Sustainable Developmental Goals Vision 2030 AU Agenda 2063 Aspirant 6 for people-driven development, unleashing the potential in its women and youth.Post harvest losses, poor farming methods and lack of markets have been major challenges. Solutions came in changing the ways of growing food to become organic in order to increase shell of life and through hosting clinics for community members on agripreneurship and climate change.Since 2017, the community's food security has improved, an integrated organic system that consist of organic garden and organic aquaculture that has been derived for sustainability.Targeting SDG 2 - Zero Hunger it’s all about re-feeding, integrated organic system and creating green environments.“When you passionately start something you set targets and goals, you hope to live to see the ideals realized but along the way the same challenge you hope to overcome start drowning your solution.Our hope of fighting hunger and breaking down the cycle of poverty lies on solar powered water boreholes.We call on engineers, inventors and development seeking members of society to assist in coming up with new ways to harness water.We innocently appeal for any form of assistance that will bring us back on track to attain Sustainable Developmental Goals by 2030.” -Solomon Mutasa, Founder, Mutoko Green Project(This Go Fund Me is managed by Claire, in France, on behalf of Solomon who cannot access Go Fund Me due to restrictions in Zimbabwe. At the end of the campaign, I will transfer all funds to Solomon via World Remit)Thank you for your generous and loving support,SolomonRead more"
657,aide cration sanctuaire pour de faune sauvage,Environment,"€5 raised of €450,000                    ",Bordeaux,1.0%,"Created August 7, 2021","Bonjour,Je vous sollicite à ce jour, pour m’aider à financer mon grand projet. La création de ce sanctuaire animalier aura pour finalité de prendre en charge des animaux blessés, victimes de maltraitances, de trafic illégaux, de braconnage ou de déforestation et de les soigner mais également de les réintroduire, lorsque cela est possible, dans leur milieu naturel. Les animaux, qui ne pourront malheureusement pas être réintroduits, resteront au refuge auprès de notre équipe bienveillante qui restera sur place pour leur apporter tous les soins, la compagnie, l’amour dont ils ont besoin et bien plus encore. C’est un point non négligeable !J’envisage également, de mettre en place un dispositif de volontariat afin que toutes personnes souhaitant contribuer à la vie active du sanctuaire et apporter leur soutien le puissent. En outre, un atelier pour sensibiliser les plus jeunes à l’importance du bien-être animal dans son intégralité sera mis en place.Nous n’avons actuellement pas de zones prédéfinies pour l’établissement de notre sanctuaire tout dépendra du budget que nous réussiront à récolter grâce à vos dons. Notre rêve serait d’installer notre refuge en Indonésie, un des milieux naturels les plus riches en biodiversité du monde mais aussi le second pays du monde dont la faune est la plus endémique. Nous faisons donc appel à votre générosité et à vos pensées positives pour la réalisation de notre projet. Toute somme est la bienvenue, ne serait que 1euros nous aiderait énormément ! Nous avons besoin de vous.. Il est grand temps que nous prenions en main l’avenir et que nous participions tous ensemble à faire avancer la cause animale. Il faut que la souffrance animale cessent ! Agissons ensemble pour le bien-être des animaux.Je pense à ce projet depuis de nombreuses années, je ne peux attendre davantage, ce sanctuaire me tient vraiment à cœur. Une vie de travail ne me suffirait pas pour financer ce projet, j’ai véritablement besoin de vous ! Si vous avez une quelconque question, n’hésitez pas à m’envoyer un message j’y répondrai avec un grand plaisir.Je vous remercie,Bien à vous,Read more"
658,water for everyone de leau pour tous,Environment,"€10 raised of €22,000                    ",Lille,1.0%,"Created June 25, 2021","                 Water for everyone!De l'eau pour tous !“We will use this water to cook, to drink, to bathe my children. They will no longer get sick, because before we drank from the well and it gave them a stomach infection"", says Bertha Yujra, who for many years suffered from the shortage of this natural resource in her town, one more victim of the global water shortage.For many people it is routine and normal to turn on the tap for drinking or washing, but for millions of people it is difficult due to the increasing scarcity of water. According to the World Resources Institute (WRI), at present, more than 1,000 million people lack this resource, while it is predicted that by 2025 there will be 3,500 million individuals who may suffer from lack of water.« Cette eau nous servira à cuisiner, à boire, à baigner mes enfants. Désormais, ils ne tomberont plus malades, car avant nous buvions au puits et cela leur donnera des infections à l'estomac. » commenta Bertha YUJRA, une femme au foyer qui doit s'occuper de ses deux enfants et qui a souffert pendant de nombreuses années du manque de cette ressource dans sa ville, une victime de plus de la pénurie d'eau dans le monde.Pour beaucoup il est courant et normal d'ouvrir le robinet pour boire ou se laver, mais pour de millions de personnes, ce n'est pas le cas notamment par la rareté croissante de l'eau.D'après le World Resources Institute (WRI), à l'heure actuelle, plus de 1 000 millions de personnes sont en manque d'eau, alors qu'il est prévu que d'ici 2025, 3 500 millions de personnes pourraient souffrir du manque de cette ressource.Faced with this growing problem not only in Bolivia, but on the planet, Reynaldo Rodríguez and his son José Rodríguez started a project to help families who must face the scarcity of this natural resource.Face à ce problème qui se développe de plus en plus non seulement en Bolivie, mais aussi à l'échelle planétaire, Reynaldo RODRIGUEZ et son fils José RODRIGUEZ ont lancé un projet pour aider les familles qui doivent faire face à la rareté de cette ressource naturelle .""Together with my father we have become aware of the context that we are going through, therefore we have generated an economic-responsible alternative, with the aim of benefiting unemployed people and helping to mitigate environmental impacts that we all have generated on the planet"", says José, a professional in tourism.« Avec mon père, nous avons pris conscience de tout le contexte que nous traversons, nous avons donc généré une alternative économiquement responsable, afin que cela puisse bénéficier aux personnes sans emploi grâce à la création de différents postes et d'aider à atténuer les impacts environnementaux que nous avons nous-mêmes générés sur la planète » affirme José, professionnel du tourisme.So, between father and son the challenge arose: How about we do something to help these people?As a result of some intense days of analysis, Reynaldo and José improved a rainwater collection design. Plastic bottles, a press, sinks, pipes, couplings, unions and other plumbing materials, all used to start and make the project come true, This project is about the construction of walls made with PET bottles, in which water accumulates, with the capacity to retain between 50 to 100 liters.Alors, entre père et fils, le défi s'est posé : Et si on faisait quelque chose pour aider ces gens ?À la suite d'intenses journées d'analyse, Reynaldo et José, ont amélioré une conception de récupération d'eau de pluie. Des bouteilles en plastique, une presse, des bouchons, des tuyaux, des raccords, des unions et autres matériels de plomberie..., tout à servir pour commencer à démarrer ce beau projet, qui consiste à construire des parois en bouteilles PET, dans qui le liquide s'accumule, avec une capacité de rétention entre 50 et 100 litres.“The project wants to promote recycling in rural educational units that lack water and support people in need with the acquisition of PET bottles for the construction of storage tanks. All this will benefit 15 schools in the rural area, offering technical advice, transfer of personnel, material and tools, in addition to the development of environmental education workshops for the conservation and use of our natural resources”, explains José.« Ce projet veut favoriser le recyclage dans les unités éducatives rurales qui manquent d'eau et soutenir les personnes nécessiteuses avec l'acquisition de bouteilles en PET pour la construction de réservoirs de stockage. Tout cela bénéficiera à 15 écoles de la zone rurale, grâce à des conseils techniques correspondants, un transfert de personnel, de matériel et d'outils. De plus des ateliers d'éducation environnementale seront développés pour permettre la conservation et l'utilisation de nos ressources naturelles » explique José.Sales records of soda and mineral water in Bolivia indicate that the population uses at least 8,500 bottles each month, in which 17,000 liters of water can be stored.Le registre des ventes des distributeurs de soda et d'eau minérale en Bolivie, que la population utilise au moins 8 500 bouteilles par mois, dans lesquelles 17 000 litres d'eau peuvent être stockés.After hard work, the project materialized in a house in the Cuniri community, in the municipality of Viacha, located approximately two hours from the city of La Paz.Après un travail acharné, le projet s'est concrétisé dans une maison de la communauté de Cuniri, dans la municipalité de Viacha, situé à environ deux heures de la ville de la Paz.“In November and December when it doesn't rain, we suffer from lack of water. So, we extract it from wells, although sometimes there is none and the cattle do not drink anything for two to three days, we have to walk one to two hours to bring the twater”, says Bertha Yujra, a housewife who must take care of her two children.« Quand il ne pleut pas, nous souffrons du manque d'eau en novembre et décembre. Alors on puise dans les puits, même si parfois il n'y a pas et que le bétail ne boit rien pendant deux à trois jours, il faut donc marcher une à deux heures pour ramener de l'eau. » raconte Bertha YUJRA.With great patience and precision, Reynaldo and his wife Gloria Quisbert finished building a wall with PET bottles 1.4 meters long and 1.5 meters high. Little by little, the plastic containers, which daily contaminate fertile lands, are transformed into a wall with pipes that end in a tap that gives hope to Bertha's family.Avec beaucoup de patience et de précision, Reynaldo et son épouse Gloria QUISBERT finissent de construire un mur avec des bouteilles en PET de 1,4 mètre de long et 1,5 mètre de haut. Petit à petit, les contenants en plastique, qui contaminent quotidiennement les terres fertiles, se transforment en un mur avec des tuyaux qui se terminent par un robinet qui redonne l'espoir à la famille de Bertha.""If there were more resources, a 1,000-liter tank could be made,"" says Reynaldo, happy to have made a family happy and hopeful to reach more rural villages in the country.«S'il y avait plus de ressources, un réservoir de 1 000 litres pourrait être fabriqué» explique Reynaldo, heureux d'avoir rendu une famille heureuse et plein d'espoir d'étendre le projet à plus de populations rurales dans le pays.Seeing the joyous faces of Bertha and her son John, Reynaldo also smiles and says that the satisfaction of making people happy is unmatched. That is why he wants there to be support for this project, so that there is water for everyone.En voyant les visages heureux de Bertha et de son fils John, Reynaldo sourit également et dit que la satisfaction de rendre les gens heureux est toujours. C'est pourquoi il souhaite qu'il y ait un soutien pour ce projet, pour qu'il y ait de l'eau pour tout le monde.The execution of the project requires 22,000 euros, an economic amount that will be used to purchase materials and tools. But that will also generate jobs in the communities by hiring two people for the technical field and one person for the environmental education field. This will lead to the acquisition of physical equipment for training, in addition to logistical expenses (such as gasoline for the vehicle that transports the equipment, accommodation for the operational team and payment of road taxes and vehicle loading taxes. Material) to arrive to the different educational units and communities.We are seeking support through GoFundme to provide more than 25,000 liters of water that will be distributed to 15 educational units in rural areas of Bolivia. This project will generate sources of employment, training and environmental education in each place where it will be implemented. The more funds we raise, the more families and schools we can reach with the project. Help us to generate a positive impact by sharing our campaign among your contacts or making a financial contribution.La mise en œuvre du projet nécessite 22 000 euros, un montant économique qui servira à l'achat de matériaux, d'outils. Mais qui permettra également de générer des emplois dans les collectivités en embauchant deux personnes pour le domaine technique et une personne pour le domaine d'éducation à l'environnement. Cela donnera lieu à l'acquisition de matériel physique pour la formation, en plus des dépenses logistiques (tel que l'essence pour le véhicule qui transporte le matériel, le logement pour l'équipe opérationnelle et paiement des taxes routières et taxes de chargement du matériel) pour atteindre les différentes unités éducatives et communautés.Nous recherchons un soutien via GoFundme pour apporter plus de 25 000 litres d'eau qui seront distribués dans 15 unités éducatives de la zone rurale de Bolivie. Ce projet permettra de générer des sources d'emploi, de formation et d'éducation environnementale dans chaque endroit où celui-ci sera mis en œuvre. Plus les fonds que nous collectons sont importants, plus nous pourrons atteindre de familles et d'écoles avec le projet. Aidez-nous à générer un impact positif en partageant notre campagne parmi vos contacts ou en nous recevons une contribution financière.Read more"
659,pour nos enfants et notre plante,Environment,"€10 raised of €15,800                    ",Villerest,1.0%,"Created May 2, 2021","BonjourNous somme une famille de 3, dont un petit gars de 5 ans , et bientôt 4 ( projet bb en cour )Nous souhaiterions faire découvrir tout l'étendu de la nature ,les divers possibilitées écologique et économique pour vivre en pleine conscience avec elle. Nous aimerions construire une maison écologique, et autonome, dans un lieux où il y a peux d'habitants , avec un potager en permaculture , des connaissances en ceuillettes sauvage ,en eco-energie , auto-suffisance qu'on voudrais de tout notre cœur, faire partager gratuitement et librement au plus de personnes possibles.On aimerais démontrer qu'on peux tout déconstruire pour tout reconstruire au plus proche de ce que la nature nous offres , avec une vision sur le futur , pour nous et nos enfants , tout ça pour 4000 euros , vous en êtes ?Read more"
660,aideznous rendre notre environnement saint,Environment,"€10 raised of €50,000                    ",Paris,1.0%,"Created March 28, 2021","Je suis un jeune professionnel nigérien de 33 ans qui travaille dans la société électrique de mon pays. Actuellement, je suis à Paris pour y effectuer un MBA en management.J’ai pris conscience qu’il fallait qu’on fasse quelque chose il y’a de cela 1 an au moment de la naissance de mon fils, je me suis dit est-ce que c’est vraiment cet environnement que je veux lui laisser? Bien sûr la réponse était non alors j’ai commencé à réfléchir sur ce qu’il faudrait faire afin d’assainir cet environnement. J’ai prospecté pour savoir qu’est ce que les entreprises existantes dans ce domaine mènent comme action. Et que puis-je faire de plus que ce qu’elles font déjà? J’en ai identifié les entités les plus importantes qui opèrent dans ce secteur et qui sont pour la plupart dans l’incinération de ces déchets plastiques. J’ai trouvé que c’était pas assez et qu’on pouvait faire plus. Pourquoi pas par exemple transformer ces déchets en quelque chose qui apporte une valeur ajoutéepour la société ?L’idée de ce projet a muri dans mon esprit quand je suis tombé par hasard sur cette vidéo (https://www.youtube.com/watch?v=xjrn-Z8Icok) et j’ai compris que c’était exactement ce qu’il me fallait comme machine. Faire du recyclage tout en utilisant le carburant qui y sera issu dans l’alimentation des groupes électrogènes afin d’électrifier nos villages qui en ont grandement besoin. Il faut savoir que selon les statistiques datant de 2018, Niamey la capitale du Niger a produit plus de 16000 tonnes de déchets plastiques par année et qu’à ce jour c’est entre 18000 et 20000 tonnes plutôt que la ville produit. Seulement 4000 tonnes sont recyclées par les entités présentes. Et la situation ne va pas en s’améliorant. J’en veux pour preuve quelques images prises ce matin du 08 mars 2021 par mon épouse à moins d’un kilomètre de chez moi. Le projet est simple. Il consiste à payer au moins une machine Chrysalis 40 auprès de EARTHWAKE et de l’amener au Niger. Le coût unitaire hors taxe de cette machine est de 50000 €. C’est cette machine à travers le procédé chimique appelé pyrolyse qui permet de transformer les déchets plastiques en énergie.Elle a une capacité de traitement de 160 kg de déchets par jour qui sont convertis en 120L de diesel, 24L d’essence et enfin la 3e source d’énergie obtenue est le gaz que la machine utilise en circuit fermé pour fonctionner.L’objectif premier recherché ce n’est pas vraiment de faire une n-ieme entreprise recherchant la rentabilité maximale dans ce secteur mais c’est de créer un système d’économie circulaire à travers un investissement à fort impact social.Car tout à long de la chaine, nous allons impacter positivement la société. A commencer par les jeunes exclus du système qui y seront recrutés dans le projet ainsi que le coût d’achat du kg de déchet plastique 2 fois supérieur à celui pratiqué sur le marché afin de leurs permettre d’avoir une source de revenu stable leur permettant de vivre décemment.Quant au carburant qui y sera issu, il sera vendu à la société nigérienne d’électricité au prix coutant ou avec une marge minimale afin qu’il puisse alimenter les groupes électrogènes des centrales électriques de Niamey.D’ici à la fin du mois de juin 2021, nous espérons avec votre soutien produire les 1ers litres de carburant issu de CHRYSALIS 40 à Niamey.Nous vous sollicitons afin que vous puissiez à travers vos dons avoir un impact considérable sur la vie de milliers de gens et par effet de mimétisme permettre à d’autres acteurs de pénétrer le marché. Par-dessus tout, nous voulons montrer à nos concitoyens que les déchets plastiques valent de l’or et qu’il ne faudrait pas les jeter dans la nature.Read more"
661,aidez yassine,Environment,"€150 raised of €36,000                    ",Ceyreste,1.0%,"Created March 23, 2021",None
662,lutte contre les dchets paludisme en Afrique,Environment,"€50 raised of €20,000                    ",Sainte-Aulde,1.0%,"Created February 27, 2021","Je collecte ces dons pour aider une association Vison Ecologique et solution du Burkina Faso qui œuvre pour la lutte contre les déchets et la pollution qui engraine le pays, et lutte contre les eaux stagnantes qui prolifèrent les moustiques et qui engendrent le paludisme qui tue en majorité les enfants. Le paludisme figure parmi les cinq causes principales de décès chez les enfants de moins de 5 ans au Burkina 4000 décès dont 3000 chez les enfants de moins de 5 ans en 2016.Pourquoi les moustiques prolifèrent vite et difficile de les éradiquer. La cause :L’hygiène de vie, Les ordures, Les fosses septiques, à ciel ouverte Les canalisations à ciel ouverte, L’écoulements des eaux usagers sur les voies publiques, attirent les moustiques et augmente considérablement leurs proliférations, et qu’ils deviennent très dangereux pour la santé.Read more"
663,achetons la source de saintmauricesouslesctes,Environment,"€0 raised of €56,000                    ",Foameix-Ornel,1.0%,"Created July 14, 2021","Retour à la source. Jeunes, amoureux de la nature et du bien-être, nous sommes un groupe d'amis qui avons pour habitude de nous retrouver à l'étang de Saint-Maurice que nous appelons affectueusement ""la Source"". Cet endroit particulier, est pour nous un bien commun du secteur qui devrait bénéficier à chacun, ses bienfaits étant multiples. Au delà du cadre naturel, "" La source"" a  un énorme potentiel en matière de bien être et de santé préventive.  Son eau très fraiche tout au long de l'année permet de pratiquer des bains froids  dont les vertues thérapeutiques sont aujourd'hui reconnues. Les 55 ares de forêts environnants offrent calme et sérénité à ce lieux envoûtant, ouvrant également la possibilité de s'essayer à la sylvothperapie. Si les opportunités en terme de santé sont nombreuses, il n'en demeure pas moins vrai que la ressource en eau du lieu constitue un enjeu majeur pour les habitants dans un contexte de transition écologique, et de préservation de l'environnement. Aujourdhui la source est en vente et nous y voyons une occasion de la ramener dans le domaine public. C'est pourquoi nous avons créé cette campagne de sociofinancement pour récupérer les fonds nécessaires. Si celle ci s'averait fructueuse, en découlerait la création d'une association pour entretenir et animer le lieu (Balade, Stage bien être, etc...).  Les délais sont très courts (15 jours... Jusqu'au 1er août) mais à coeur vaillant rien d impossible et nous vous soumettons donc notre projet. Ensemble nous sommes capable de le faire. Read more"
664,dbarrasser les balkans de sa pollution,Environment,"$0 raised of $10,000                    ",Lille,1.0%,"Created October 14, 2021","Dans les Balkans, des tonnes d'ordures dans les rivières et plans d'eau inquiètentDans les Balkans, comme sur un lac en Serbie, paradis rêvé des pêcheurs il y a encore quelques années, des masses de déchets s'accumulent dans des rivières ou plans d'eau tandis que les collectivités manquent de moyen pour le recyclage. Les pluies hivernales font émerger le problème structurel de la gestion des ordures à travers les Balkans. Ainsi, il y aurait pas moins de 8.000 mètres cube de bouteilles en plastique, de vieux sofas et autres conteneurs en polystyrène agglutinés en un îlot massif sur ce lac de Serbie occidentale.Les Balkans occidentaux - la Serbie, le Monténégro, le Kosovo, la Bosnie, l'Albanie, la Macédoine du Nord et la Croatie - comptent les rivières parmi les plus sauvages d'Europe. Mais des infrastructures défaillantes de traitement des détritus menacent l'environnement et la santé publique. Read more"
665,les marins nettoyeurs,Environment,"€0 raised of €30,000                    ",Grenoble,1.0%,"Created February 11, 2021"," Projet voilier écolo Présentation:Nous sommes un groupe soudé d'amis de 5 personnes depuis une quinzaines d'années dès le début un esprit de liberté et d'écologie nous a directement lié. Tout a commencé lors d'un voyage à Madère sur un voilier ou le capitaine faisait des détours de plusieurs minutes pour ramasser des déchets à la surface de l'eau , l'idée a germé la!! L'un d'entre nous avait déjà son permis côtier après ce petit voyage et cette prise de conscience, il s'est attaqué au permis hauturier ( grand mer ) pour se lancer dans l'aventure le plus rapidement possible . Depuis ce jour l'idée de voyager sur l'océan en le nettoyant ne nous quittes plus, ce projet réunirait deux grands piliers de nos vies!!,la liberté et l'écologie !!! Nous sommes allés démarcher nos banques respectives mais nos situations ne nous permettes pas d’emprunter le moindre centimes donc nous avons achetés une tire-lire où nous mettons chacun nos petites économies de temps en temps cela nous aidera donc à avoir un apport conséquent pour retourner à la banque avec l’air un peu moins con!!On a besoin de vous pour nous aider à réaliser ce rêve !!!! Cette argent nous aidera a acheter le bateau !!On a une petite idée pour vous remercier !!!:Une personne parmi vous aura une chance de partir en mer avec nous !!! Nous organiserons un tirage au sort ou le gagnant aura le droit d'inviter une personne de son choix ,et un soin thérapeutique ou de reiki sera offert a bord!!!Comment on compte s'y prendre pour la récolte des déchets ?- Un filet robuste équipé de flotteurs sera installé à l'arrière du bateau pour récupérer le plastique à la surface de l'eau, et pour préserver un maximum la vie marine.- Pour tous les déchets qui passeront à travers le filet il y aura à bord toute sorte de perches, d'épuisettes etc.. -Pour d'éventuel animaux blessés où piégés du matériels de soins et de découpe sera présent à bord.-Tous les déchets récupérés seront acheminés dans une usine de recyclage éthiquement référencé exemple : PAPREC GROUPE ( un maximum de vidéos seront actualisées sur notre chaîne YouTube . ) Mobilisons-nous pour une planète saine ✊ Un jour, dit la légende, il y eut un immense incendie de forêt. Tous les animaux terrifiés, atterrés, observaient impuissants le désastre. Seul le petit colibri s’activait, allant chercher quelques gouttes avec son bec pour les jeter sur le feu. Après un moment, le tatou, agacé par cette agitation dérisoire, lui dit : ""Colibri ! Tu n’es pas fou ? Ce n’est pas avec ces gouttes d’eau que tu vas éteindre le feu !""Et le colibri lui répondit : ""Je le sais, mais je fais ma part.""#lalégendeducolibri Merci!Read more"
666,opration 10000 arbres pour ma kabylie,Environment,"€0 raised of €20,000                    ",Igny,1.0%,"Created August 13, 2021","Opération 10000 plantes pour la kabylie Afous deg fous nchlh kulech adyughal am zik nag ktar, tadukli leqvayel ulach achu siwa3ren. Courage a nous et vive nous. Am assa adnugal nchlh, tamourt negh taqvatylit Read more"
667,aider nous btir nos refuges,Environment,€0 raised of €1.0M                    ,Taverny,1.0%,"Created July 26, 2021","Bonjour à toutes et tous,Nous pensons que notre société ne sera bientôt plus en mesure de nous offrir la sécurité à laquelle nous espérons. Nous ne sommes plus en capacité d'affronter des crises de plus en plus fréquentes et la confiance que nous avions envers les personnes qui dirigent nos pays, nos continents, notre planète n’est plu.Alors pour ne pas être pris au dépourvu le jour de la bascule nous rachetons terres, forêts, villages, dans le but de les rendre habitables en toute autonomie.Tous les aménagements que nous mettons en place sont pensée afin de limiter au maximum l’impact environnemental. Notre souhait est de lier intelligemment technologie et écologie dans le but de conserver un haut confort de vie.Deux options s’offrent à vous :-	Vous, accompagné de vos proches souhaitez intégrer un site afin d’y être résident permanent.-	Vous, accompagné de vos proches souhaitez avoir un endroit sûr où vous mettre à l’abris le moment venu.Votre soutien va nous permettre de créer plus rapidement des places supplémentaires.Qui sait! peut être que l'une d'entre elle sera pour vous!Read more"
668,help sarah 31,Environment,€0 raised of €10                    ,Paris,1.0%,"Created June 23, 2021",Besoin d'un traitementBesoin d'un traitementRead more
669,rcolte de fond association alokaterre,Environment,€0 raised of €200                    ,Uffholtz,1.0%,"Created June 15, 2021","Récolte de fond Aloka’Terre : Sri Lanka, venons en aide à l’écosystème marin et à la population de pêcheurs locauxAidez-nous à soutenir les Sri Lankais face à cette catastrophe environnementale !Aloka’Terre est une association qui vient en aide aux populations locales du Sri Lanka et du Bhoutan et qui aide à la protection de l’environnement. Nous sommes Cathy et Stéphane et avons une agence de voyage spécialisée dans les destinations du Sri Lanka et du Bhoutan. À l’initiative d’un collectif de voyageurs, nous avons créé l‘association Aloka’Terre. Nous donnons depuis maintenant un an toute notre énergie à la réalisation d’actions environnementales et humaines et agissons directement sur place. Nous œuvrons au renforcement de ce qui est vital: la santé, les besoins essentiels et la défense de la nature.C’est pourquoi nous faisons aujourd’hui appel à vous, afin de nous soutenir dans notre démarche et plus particulièrement à l’heure actuelle, face à la situation que connaît le Sri Lanka. À ce jour, Le Sri Lanka fait face à une catastrophe environnementale au large de ses côtes. En effet, vous avez très certainement du entendre parler du naufrage d’un porte-conteneurs transportant des produits chimiques près du port de Colombo. Des tonnes de petits granulés de plastique provenant de la cargaison ont déjà recouvert 80 kilomètres du littoral de l'ouest de l'île. Et une éventuelle marée noire est redoutée, et ne ferait qu'aggraver la situation, car le navire transporte 278 tonnes de fioul en soute et 50 tonnes de gazole dans ses réservoirs. Les dommages écologiques sont en cours d'évaluation mais sont d’ores et déjà très importants.C’est pourquoi nous sollicitons à ce jour votre aide ainsi que votre appui à ce projet. Une participation de votre part, aussi petite soit-elle, nous permettrait de mettre en place des interventions concrètes et locales pour venir en aide à l’environnement marin directement touché par cette catastrophe, et plus particulièrement aux tortues marines du Sri Lanka. Cela contribuerait également à poursuivre les actions pour lesquelles nous avons œuvré jusqu’à présent.Les différentes actions que nous allons mettre en place sont les suivantes :Nettoyage des plages touchées par la pollution plastique.Aide aux refuges des tortues marines pour la préservation et la protection des nombreuses espèces de tortues marines présentes au Sri Lanka.Actions pour préserver la mangrove.Soutiens aux pêcheurs locaux par le développement des sorties en mer respectueuses de l’environnement marin (catamaran).Sensibilisation au respect des animaux marins lors des sorties en mer.Pour faire tout cela, nous avons besoin de fonds afin de réunir les moyens matériels et humains nécessaires à la mise en place des différentes actions. C’est la raison pour laquelle nous faisons cette cagnotte.En espérant que vous accueillerez notre requête avec bienveillance, nous comptons sur votre soutien !**Envie de nous aider à récolter plus de dons ? Partagez la cagnotte avec vos amis et votre entourage !!**L’équipe d’Aloka’Terre vous remercie tous !Read more"
670,vsjqx buy land to plant trees,Environment,"€0 raised of €20,000                    ",Saint-Cloud,1.0%,"Created April 27, 2021","We want to help reduce the human race global carbon footprint by planting as much trees as possible. Trees will never be sold to be burned, the will be cut down and buried to store the carbon forever. We plan to buy some land in La Creuse department in France, the cheapest and most deserted area of France.Read more"
